UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Vala Afshar,@ValaAfshar,2021-01-01T22:36:08.000Z,"Vala Afshar
@ValaAfshar
·
1 Jan 2021","Nikola Tesla was an immigrant. So was Joseph Pulitzer and 
@AlbertEinstein
 and Igor Stravinsky.

Rational, compassionate immigration reform is needed so that the next Tesla and Einstein’s are not denied access to educational or entrepreneurial opportunities in the US. —
@johngreen
23
87",,,23,87,['https://pbs.twimg.com/media/EqriwFNW4AIekT0?format=jpg&name=medium'],https://twitter.com/ValaAfshar/status/1345136757046702081
Ian H Lundin,@Ian_H_Lundin,2021-01-01T20:09:30.000Z,"Ian H Lundin
@Ian_H_Lundin
·
1 Jan 2021","Tesla kind of sums up the stock market of 2020. Each of the 500,000 Teslas produced last year is valued at roughly $1.3 million. I guess P/E ratio has no more meaning in the new economy.  https://on.ft.com/2X0oBZF
10
17
127",,10,17,127,[],https://twitter.com/Ian_H_Lundin/status/1345099854394089479
丂ㄖㄩ尺千尺ㄩ丨ㄒ,@s0urfruit,2021-01-01T22:26:26.000Z,"丂ㄖㄩ尺千尺ㄩ丨ㄒ
@s0urfruit
·
1 Jan 2021","Replying to 
@klwtts
 @Tesla
  and 9 others
That’s definitely a Tesla operated car since that same plate was on the cybertruck (and apparently a Model Y)
3
2
47",⚡ ⚡,3,2,47,['https://pbs.twimg.com/media/Eqrgh2sXEAASlFx?format=jpg&name=medium'],https://twitter.com/s0urfruit/status/1345134314191790081
TeslaChillMode #HellaTeslas,@TeslaChillMode,2021-01-01T23:38:29.000Z,"TeslaChillMode #HellaTeslas
@TeslaChillMode
·
2 Jan 2021","Come on out 
@Tesla
 peeps! This is a VERY VERY Covid/pandemic safe event!!! Build club spirit & love in the new year while promoting Tesla EV power & supporting a GREAT charitable organization

FYI - Not a car race, 4 laps following lead car at 65 top speed, 4 cars at a time
GIF
ALT
Tesla East Bay Fremont
@TeslaOwnersEBay
·
2 Jan 2021
 Sat. Jan. 23rd! Slots still available for the 8th Annual Laps for charity! $150 gets 4 guided laps &  .  To drive with our club you must mention “Tesla Owners East Bay” in field 2 of the form. For Time pref: select 4pm, 330pm & 3pm last. 
1
8",🏁 📸,,1,8,"['https://pbs.twimg.com/profile_images/1364409307496783874/CLO7Pa6R_normal.jpg', 'https://pbs.twimg.com/media/EqrqCSAVgAAbNbC?format=jpg&name=240x240', 'https://pbs.twimg.com/media/EqrqCSAUUAEqkTz?format=jpg&name=240x240', 'https://pbs.twimg.com/media/EqrqCR_UwAIuMfV?format=jpg&name=240x240', 'https://pbs.twimg.com/media/EqrqCSBUYAAaB4Z?format=jpg&name=240x240']",https://twitter.com/TeslaChillMode/status/1345152445912027136
Dirty Tesla,@DirtyTesLa,2021-01-01T21:50:34.000Z,"Dirty Tesla
@DirtyTesLa
·
1 Jan 2021","Replying to 
@TeslaChillMode
 @Tesla
  and 9 others
Sorry I washed it yesterday
3
1
23",,,,,['https://pbs.twimg.com/media/EqrYUTwW4AIGeU_?format=jpg&name=medium'],https://twitter.com/DirtyTesLa/status/1345125287013593091
,,2021-01-01T23:21:10.000Z,,,👍 👍,,,,['https://pbs.twimg.com/card_img/1610387636945829889/vzi_PoEN?format=jpg&name=medium'],https://twitter.com/alvinfoo/status/1345148087958872064
,,2021-01-01T22:36:08.000Z,,,,,,,['https://pbs.twimg.com/media/EqriwFNW4AIekT0?format=jpg&name=medium'],https://twitter.com/ValaAfshar/status/1345136757046702081
,,2021-01-01T20:09:30.000Z,,,,,,,[],https://twitter.com/Ian_H_Lundin/status/1345099854394089479
,,2021-01-01T22:26:26.000Z,,,⚡ ⚡,,,,['https://pbs.twimg.com/media/Eqrgh2sXEAASlFx?format=jpg&name=medium'],https://twitter.com/s0urfruit/status/1345134314191790081
,,2021-01-01T23:38:29.000Z,,,🏁 📸,,,,"['https://pbs.twimg.com/profile_images/1364409307496783874/CLO7Pa6R_normal.jpg', 'https://pbs.twimg.com/media/EqrqCSAVgAAbNbC?format=jpg&name=240x240', 'https://pbs.twimg.com/media/EqrqCSAUUAEqkTz?format=jpg&name=240x240', 'https://pbs.twimg.com/media/EqrqCR_UwAIuMfV?format=jpg&name=240x240', 'https://pbs.twimg.com/media/EqrqCSBUYAAaB4Z?format=jpg&name=240x240']",https://twitter.com/TeslaChillMode/status/1345152445912027136
,,2021-01-01T21:50:34.000Z,,,,,,,['https://pbs.twimg.com/media/EqrYUTwW4AIGeU_?format=jpg&name=medium'],https://twitter.com/DirtyTesLa/status/1345125287013593091
,,2021-01-01T23:18:42.000Z,,,,,,,['https://pbs.twimg.com/media/EqrsfaCVQAEbyss?format=jpg&name=small'],https://twitter.com/MattMillerCubed/status/1345147465457045505
